Word,Count,Sense,Definition,Example 1,Example 2
bring,5,,go or come after and bring or take back,"Get me those books over there, please",Could you bring the wine?
bring,5,,cause to come into a particular state or condition,Long hard years of on the job training had brought them to their competence,bring water to the boiling point
bring,5,,cause to happen or to occur as a consequence,I cannot work a miracle,wreak havoc
bring,5,,take something or somebody with oneself somewhere,Bring me the box from the other room,Take these letters to the boss
bring around,12,cure,,"provide a cure for, make healthy again",The treatment cured the boy's acne
bring in,8,,bring in a new person or object into a familiar environment,He brought in a new judge,The new secretary introduced a nasty rumor
bring out,9,,"direct attention to, as if by means of contrast",This dress accentuates your nice figure,I set off these words by brackets
bring out,9,,bring out of a specific state,,
bring out,9,,make visible,Summer brings out bright clothes,He brings out the best in her
bring to,8,,return to consciousness,These pictures bring back sad memories,
brisk,5,,become brisk,business brisked up,
bristle,7,,rise up as in fear,The dog's fur bristled,It was a sight to make one's hair uprise!
bristle,7,,have or be thickly covered with or as if with bristles,bristling leaves,
broadcast,9,,,"sow over a wide area, especially by hand",broadcast seeds
broil,5,,,cook under a broiler,broil fish
brood,5,,sit on (eggs),Birds brood,The female covers the eggs
brown,5,,,fry in a pan until it changes color,brown the meat in the pan
browse,6,,"look around casually and randomly, without seeking anything in particular",browse a computer directory,surf the internet or the world wide web
bruise,6,,,damage (plant tissue) by abrasion or pressure,The customer bruised the strawberries by squeezing them
bruise,6,,,break up into small pieces for food preparation,bruise the berries with a wooden spoon and strain them
brush,5,,remove with or as if with a brush,brush away the crumbs,brush the dust from the jacket
brush,5,,sweep across or over,Her long skirt brushed the floor,A gasp swept cross the audience
bubble over,11,,overflow with a certain feeling,The children bubbled over with joy,My boss was bubbling over with anger
bubble up,9,,"move upwards in bubbles, as from the effect of heating",also used metaphorically,Gases bubbled up from the earth
bud,3,,develop buds,The hibiscus is budding,
budget for,10,,calculate enough money for,provide for in the budget,I have not budgeted for these expensive meals
buff,4,,polish and make shiny,buff the wooden floors,buff my shoes
build,5,,,improve the cleansing action of,build detergents
build,5,,"give form to, according to a plan",build a modern nation,build a million-dollar business
build a,7,,,be engaged in building,These architects build in interesting and new styles
build up,8,develop |,change the use of and make available or usable,develop land,The country developed its natural resources
build up,8,,form or accumulate steadily,Resistance to the manager's plan built up quickly,Pressure is building up at the Indian-Pakistani border
build up,8,work up | build | ramp up,bolster or strengthen,We worked up courage,build up confidence
bulge,5,,bulge out,"form a bulge outward, or be so full as to appear to bulge",
bundle,6,,sleep fully clothed in the same bed with one's betrothed,,
bundle up,9,,dress warmly,Mother bundled up the children for the long way to school,
bungle,6,,spoil by behaving clumsily or foolishly,I bungled it,
bunk off,8,,,u        play truant from work or school,The boy often plays hooky
bunker,6,,hit a golf ball into a bunker,,
burgeon,7,,grow and flourish,The burgeoning administration,The burgeoning population
burn,4,incinerate,cause to undergo combustion,burn garbage,The car burns only Diesel oil
burn,4,,"feel strong emotion, especially anger or passion",She was burning with anger,He was burning to try out his new skies
burn,4,combust |,cause to burn or combust,The sun burned off the fog,We combust coal and other fossil fuels
burn,4,glow,"shine intensely, as if with heat",The coals were glowing in the dark,The candles were burning
burn down,9,,burn completely,be consumed or destroyed by fire,The hut burned down
burp,4,,expel gas from the stomach,Please don't burp at the table,
burst out,9,,give sudden release to an expression,We burst out laughing,"`I hate you,' she burst out"
bury,4,sink,embed deeply,She sank her fingers into the soft sand,He buried his head in her lap
bury,4,,place in a grave or tomb,Stalin was buried behind the Kremlin wall on Red Square,The pharaohs were entombed in the pyramids
butt,4,,"to strike, thrust or shove against",He butted his sister out of the way,The goat butted the hiker with his horns
butterfly,9,,,"cut and spread open, as in preparation for cooking",butterflied shrimp
buy,3,,,^   ^   ^                                      obtain by purchase,acquire by means of a financial transaction
buy it,6,,,u        be killed or die,
buzz,4,,,fly low,Planes buzzed the crowds in the square
buzz,4,,make a buzzing sound,bees were buzzing around the hive,
calcify,7,,turn into lime,become calcified,The rock calcified over the centuries
calibrate,9,,make fine adjustments or divide into marked intervals for optimal measuring,calibrate an instrument,graduate a cylinder
calk,4,,,provide with calks,calk horse shoes
call,4,telephone,,get or try to get into communication (with someone) by telephone,I tried to call you all night
call,4,send for,"order, request, or command to come",She was called into the director's office,Call the police!
call,4,,challenge (somebody) to make good on a statement,charge with or censure for an offense,He deserves to be called on that
call,4,,ascribe a quality to or give a name of a common noun that reflects a quality,He called me a bastard,She called her children lazy and ungrateful
call,4,,,"send a message or attempt to reach someone by radio, phone, etc.",make a signal to in order to transmit a message
call,4,,,indicate a decision in regard to,call balls and strikes behind the plate
call,4,,call a meeting,invite or command to meet,The Wannsee Conference was called to discuss the `Final Solution'
call,4,,"stop or postpone because of adverse conditions, such as bad weather",call a football game,
call back,9,,return or repeat a telephone call,I am busy right now--can you call back in an hour?,She left a message but the contractor never called back
call d,6,,utter in a loud voice or announce,He called my name,The auctioneer called the bids
call e,6,,"order, summon, or request for a specific duty or activity, work, role",He was already called  times for jury duty,They called him to active military duty
call in,7,,,make a phone call,call in to a radio station
call on,7,,have recourse to or make an appeal or request for help or information to,She called on her Representative to help her,She turned to her relatives for help
